Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
1272,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year J,,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva H,,Mean,N,24,21,,1,,7.20E+04,3.67E+04,Original species length,4,1.37E+03,Original species length,17,m^3 per pred per day,0.23,2.80E+00,1.33E+00,2.09E+01,1.83E-03,1.18E-10,1.30E-02,
1273,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,1wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,0.55,4.63E-04,2.10E-04,7.69E-04,5.09E-04,1.64E-04,7.72E-04,
1274,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,2wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,0.62,1.22E-03,8.21E-04,1.62E-03,2.55E-04,1.41E-04,3.44E-04,
1275,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,3wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,0.83,7.82E-04,5.45E-04,1.21E-03,2.17E-04,1.41E-04,2.90E-04,
1276,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,4wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,0.97,7.92E-04,6.48E-04,9.59E-04,2.31E-05,8.96E-12,4.39E-05,
1277,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,5wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,0.65,6.82E-04,4.49E-04,1.18E-03,7.00E-05,3.29E-12,2.40E-04,
1278,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,6wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,0.88,2.70E-03,1.98E-03,3.85E-03,9.30E-05,6.66E-05,1.20E-04,
1279,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,1wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,0.78,2.82E-04,2.03E-04,4.56E-04,4.44E-05,2.03E-12,2.45E-04,
1280,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,2wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,0.98,7.36E-04,7.04E-04,8.36E-04,3.24E-12,1.24E-13,1.23E-05,
1281,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,3wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,0.87,4.56E-04,3.60E-04,7.08E-04,7.08E-06,7.80E-13,7.20E-05,
1282,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,4wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,0.97,6.73E-04,6.03E-04,8.17E-04,1.09E-05,1.03E-12,3.11E-05,
1283,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,5wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,0.98,7.45E-04,6.87E-04,8.69E-04,4.71E-06,3.28E-13,1.86E-05,
1284,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,6wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,0.94,3.56E-03,2.86E-03,4.25E-03,4.78E-05,3.53E-05,5.67E-05,
1285,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,2wk old larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Ceriodaphnia dubia,,2,Mean,N,2,25,,2,,5.00E+01,,,,9.32E-02,Original species length,1,m^3 per pred per day,0.51,8.65E-04,3.76E-04,1.60E-03,2.32E-03,1.04E-03,3.20E-03,
1286,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,3wk old larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Ceriodaphnia dubia,,2,Mean,N,2,25,,2,,5.00E+01,,,,9.32E-02,Original species length,1,m^3 per pred per day,0.71,9.35E-04,4.58E-04,1.36E-03,9.79E-04,2.66E-04,1.42E-03,
1287,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,4wk old larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Ceriodaphnia dubia,,2,Mean,N,2,25,,2,,5.00E+01,,,,9.32E-02,Original species length,1,m^3 per pred per day,0.77,5.49E-04,3.18E-04,9.10E-04,8.93E-04,3.41E-04,1.28E-03,
1288,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,5wk old larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Ceriodaphnia dubia,,2,Mean,N,2,25,,2,,5.00E+01,,,,9.32E-02,Original species length,1,m^3 per pred per day,0.5,1.62E-03,1.17E-03,2.16E-03,6.11E-04,4.15E-04,7.99E-04,
1289,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,6wk old larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Ceriodaphnia dubia,,2,Mean,N,2,25,,2,,5.00E+01,,,,9.32E-02,Original species length,1,m^3 per pred per day,0.09,1.10E-02,4.62E-03,7.36E-02,8.60E-04,7.61E-04,9.65E-04,
1290,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,2wk old larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,,2,Mean,N,2,25,,2,,5.00E+01,,,,1.83E-01,Original species length,3,m^3 per pred per day,0.48,1.54E-04,8.98E-05,7.10E-04,1.75E-09,1.56E-11,4.86E-03,
1291,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,3wk old larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,,2,Mean,N,2,25,,2,,5.00E+01,,,,1.83E-01,Original species length,3,m^3 per pred per day,0.55,1.37E-03,7.96E-04,2.47E-03,1.35E-03,6.55E-04,1.79E-03,
1292,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,4wk old larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,,2,Mean,N,2,25,,2,,5.00E+01,,,,1.83E-01,Original species length,3,m^3 per pred per day,0.75,1.01E-03,7.12E-04,1.47E-03,6.01E-04,4.73E-04,7.19E-04,
1293,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,5wk old larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,,2,Mean,N,2,25,,2,,5.00E+01,,,,1.83E-01,Original species length,3,m^3 per pred per day,0.66,9.84E-04,4.78E-04,1.56E-03,2.67E-04,7.32E-11,4.90E-04,
1294,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,6wk old larva,3,Metazoan,Invertebrate,Crustacean,Cladoceran,,Moina macrocopa,,2,Mean,N,2,25,,2,,5.00E+01,,,,1.83E-01,Original species length,3,m^3 per pred per day,0.05,4.29E-03,1.08E-03,5.44E-02,5.95E-04,3.88E-04,7.59E-04,
1295,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,1wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus calyciflorus,,2,Mean,N,6,23,,1,,2.50E+01,,,,2.00E-04,Alternate species mass,1,m^3 per pred per day,0.06,2.39E-04,4.39E-05,2.40E-03,4.21E-03,1.17E-03,6.17E-03,
1296,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,2wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus calyciflorus,,2,Mean,N,6,23,,1,,2.50E+01,,,,2.00E-04,Alternate species mass,1,m^3 per pred per day,0.64,4.37E-04,3.08E-04,7.96E-04,7.68E-04,6.44E-04,9.27E-04,
1297,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,3wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus calyciflorus,,2,Mean,N,6,23,,1,,2.50E+01,,,,2.00E-04,Alternate species mass,1,m^3 per pred per day,0.7,7.62E-04,5.25E-04,1.25E-03,5.85E-04,5.08E-04,6.53E-04,
1298,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,4wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus calyciflorus,,2,Mean,N,6,23,,1,,2.50E+01,,,,2.00E-04,Alternate species mass,1,m^3 per pred per day,0.5,7.86E-04,4.95E-04,1.68E-03,6.81E-04,5.63E-04,8.08E-04,
1299,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,5wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus calyciflorus,,2,Mean,N,6,23,,1,,2.50E+01,,,,2.00E-04,Alternate species mass,1,m^3 per pred per day,0.73,1.15E-03,8.20E-04,1.55E-03,5.30E-04,4.68E-04,5.74E-04,
1300,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,1wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus havanaensis,,2,Mean,N,6,23,,1,,2.50E+01,,,,2.40E-03,Original species length,1,m^3 per pred per day,0.21,1.79E-04,6.86E-05,1.14E-03,5.92E-04,3.08E-11,1.94E-03,
1301,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,2wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus havanaensis,,2,Mean,N,6,23,,1,,2.50E+01,,,,2.40E-03,Original species length,1,m^3 per pred per day,0.43,3.42E-04,1.74E-04,1.24E-03,4.14E-04,1.54E-04,6.92E-04,
1302,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,3wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus havanaensis,,2,Mean,N,6,23,,1,,2.50E+01,,,,2.40E-03,Original species length,1,m^3 per pred per day,0.67,1.25E-03,9.33E-04,1.88E-03,2.78E-04,2.21E-04,3.27E-04,
1303,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,4wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus havanaensis,,2,Mean,N,6,23,,1,,2.50E+01,,,,2.40E-03,Original species length,1,m^3 per pred per day,0.89,1.12E-03,9.03E-04,1.34E-03,1.77E-04,1.61E-04,1.95E-04,
1304,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,5wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus havanaensis,,2,Mean,N,6,23,,1,,2.50E+01,,,,2.40E-03,Original species length,1,m^3 per pred per day,0.95,1.00E-03,8.64E-04,1.22E-03,1.18E-04,1.09E-04,1.29E-04,
1305,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,1wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus patulus,,2,Mean,N,6,23,,1,,2.50E+01,,,,1.50E-04,Alternate species mass,1,m^3 per pred per day,0.5,1.99E-04,1.13E-04,5.72E-04,1.13E-03,7.83E-04,1.51E-03,
1306,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,2wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus patulus,,2,Mean,N,6,23,,1,,2.50E+01,,,,1.50E-04,Alternate species mass,1,m^3 per pred per day,0.74,9.55E-04,7.13E-04,1.23E-03,5.23E-04,4.70E-04,5.65E-04,
1307,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,3wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus patulus,,2,Mean,N,6,23,,1,,2.50E+01,,,,1.50E-04,Alternate species mass,1,m^3 per pred per day,0.49,3.05E-03,2.11E-03,4.84E-03,4.49E-04,4.16E-04,4.83E-04,
1308,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,4wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus patulus,,2,Mean,N,6,23,,1,,2.50E+01,,,,1.50E-04,Alternate species mass,1,m^3 per pred per day,0.77,2.13E-03,1.73E-03,2.76E-03,3.79E-04,3.55E-04,4.04E-04,
1309,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,5wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus patulus,,2,Mean,N,6,23,,1,,2.50E+01,,,,1.50E-04,Alternate species mass,1,m^3 per pred per day,0.84,1.76E-03,1.43E-03,2.22E-03,3.29E-04,3.10E-04,3.53E-04,
1310,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,1wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,6,23,,1,,2.50E+01,,,,1.50E-04,Alternate species mass,2,m^3 per pred per day,0.41,1.65E-04,7.88E-05,4.82E-04,1.33E-03,7.69E-04,1.99E-03,
1311,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,2wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,6,23,,1,,2.50E+01,,,,1.50E-04,Alternate species mass,2,m^3 per pred per day,0.82,1.00E-04,7.37E-05,1.66E-04,2.46E-04,4.70E-11,5.56E-04,
1312,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,3wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,6,23,,1,,2.50E+01,,,,1.50E-04,Alternate species mass,2,m^3 per pred per day,0.4,5.16E-04,2.85E-04,1.45E-03,8.87E-04,6.37E-04,1.12E-03,
1313,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,4wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,6,23,,1,,2.50E+01,,,,1.50E-04,Alternate species mass,2,m^3 per pred per day,0.56,7.47E-04,4.97E-04,1.18E-03,6.82E-04,5.81E-04,7.82E-04,
1314,Alanis et al 2009 BRAZ ARCH BIOL & TECH,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Characiformes,Moenkhausia sanctaefilomenae,5wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,N,6,23,,1,,2.50E+01,,,,1.50E-04,Alternate species mass,2,m^3 per pred per day,0.63,1.23E-03,8.34E-04,2.30E-03,5.66E-04,4.95E-04,6.29E-04,
1315,Ware 1972 J FISH RES BOARD CAN,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Salmoniformes,Oncorhynchus mykiss,Wild caught,,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Crangonyx richmondensis,,,Raw data,N,48,10,,1,,2.27E+05,3.71E+04,Original species length,3,5.20E+00,Original species mass,2,m^3 per pred per day,0.61,4.24E+02,3.10E+02,6.14E+02,1.33E-05,9.51E-06,1.58E-05,
1316,Ryer et al 2002 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Gadus chalcogrammus,Juvenile,,Metazoan,Invertebrate,Crustacean,Branchiopod,Shrimp,Artemia spp.,,,Mean,N,19,11,,5,,9.30E+04,3.26E+03,Original species length,Species,6.42E-01,Original length,1,m^3 per pred per day,0.79,3.74E-01,3.20E-01,5.90E-01,2.84E-11,4.35E-13,3.17E-05,
1317,Ryer et al 2002 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Scorpaeniformes,Anoplopoma fimbria,Juvenile,,Metazoan,Invertebrate,Crustacean,Branchiopod,Shrimp,Artemia spp.,,,Mean,N,19,11,,5,,9.30E+04,5.05E+03,Original species length,2,6.42E-01,Original length,1,m^3 per pred per day,0.71,9.94E-01,5.75E-01,1.70E+00,1.83E-05,1.67E-11,2.96E-05,
1318,Murray et al 2013 ETHOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Rutilus rutilus,>1 year old,,,Non living food,Non living food,,fish-meal-based pellets,,pellets,,Mean,N,24,18,,3,,2.00E+04,2.05E+04,Original species mass,5,4.10E+00,,,m^3 per pred per day,0.65,4.12E+01,2.55E+01,1.91E+02,4.51E-06,1.37E-13,9.60E-06,"pellets not prey, 75 pellets approx. 1.5% pred mass"
1319,Murdoch et al 1975 ECOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cyprinodontiformes,Poecilia reticulata,,,Metazoan,Invertebrate,Insect,Diptera,flies,Drosophila spp.,Appendages and wings removed,,Mean,Y,,,,1,,7.50E+04,1.05E+02,Average species mass,15,9.38E-01,Average species mass,6,m^3 per pred per day,0.42,2.52E+01,2.29E+01,2.82E+01,1.17E-10,4.62E-11,4.34E-10,
1320,Murdoch et al 1975 ECOLOGY,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cyprinodontiformes,Poecilia reticulata,,,Metazoan,Invertebrate,Annelid,,tubificid worm,Tubifex spp.,,,Mean,Y,,,,1,,7.50E+04,1.05E+02,Average species mass,15,,,,m^3 per pred per day,0.71,4.09E+01,3.71E+01,4.50E+01,3.35E-12,2.11E-12,1.68E-11,
1321,Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Alburnus chalcoides,,,Metazoan,Invertebrate,Crustacean,Copepod,Cyclops,Cyclops spp.,ovigerous,,Mean,N,24,20,,1,,2.00E+04,5.20E+03,Original species length,2,9.65E-02,Original species length,1,m^3 per pred per day,0.91,2.51E+00,2.21E+00,2.87E+00,1.18E-05,8.07E-06,1.52E-05,
1322,Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Alburnus chalcoides,,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia hyalina,ovigerous,2,Mean,N,24,20,,1,,2.00E+04,5.20E+03,Original species length,2,4.81E-01,Original species length,4,m^3 per pred per day,0.89,9.79E+00,9.17E+00,1.06E+01,1.26E-05,1.21E-05,1.32E-05,
1323,Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Alburnus chalcoides,,,Metazoan,Invertebrate,Crustacean,Branchiopod,Spiny water flea,Bythotrephes longimanus,ovigerous,,Mean,N,24,20,,1,,2.00E+04,5.20E+03,Original species length,2,2.13E-01,Original species length,1,m^3 per pred per day,0.89,9.35E+00,8.75E+00,9.98E+00,1.21E-05,1.15E-05,1.27E-05,
1324,Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Alburnus chalcoides,,,Metazoan,Invertebrate,Crustacean,Branchiopod,Water flea,Leptodora kindtii,ovigerous,,Mean,N,24,20,,1,,2.00E+04,5.20E+03,Original species length,2,8.24E-01,Original species length,1,m^3 per pred per day,0.78,3.72E+00,3.01E+00,4.53E+00,3.23E-05,2.62E-05,3.83E-05,
1325,Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Vimba vimba,,,Metazoan,Invertebrate,Crustacean,Copepod,Cyclops,Cyclops spp.,ovigerous,,Mean,N,24,20,,1,,2.00E+04,6.29E+03,Original species length,1,9.65E-02,Original species length,1,m^3 per pred per day,0.78,1.88E+00,1.35E+00,2.64E+00,4.98E-05,3.17E-05,6.57E-05,
1326,Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Vimba vimba,,,Metazoan,Invertebrate,Crustacean,Branchiopod,Spiny water flea,Bythotrephes longimanus,ovigerous,,Mean,N,24,20,,1,,2.00E+04,6.29E+03,Original species length,1,2.13E-01,Original species length,1,m^3 per pred per day,0.85,5.96E+00,4.89E+00,7.56E+00,2.36E-05,2.03E-05,2.84E-05,
1327,Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Vimba vimba,,,Metazoan,Invertebrate,Crustacean,Branchiopod,Water flea,Leptodora kindtii,ovigerous,,Mean,N,24,20,,1,,2.00E+04,6.29E+03,Original species length,1,8.24E-01,Original species length,1,m^3 per pred per day,0.75,2.43E+00,1.69E+00,3.33E+00,4.78E-05,3.22E-05,5.90E-05,
1328,Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Abramis brama,,,Metazoan,Invertebrate,Crustacean,Copepod,Cyclops,Cyclops spp.,ovigerous,,Mean,N,24,20,,1,,2.00E+04,8.59E+03,Original species length,2,9.65E-02,Original species length,1,m^3 per pred per day,0.79,8.04E-01,6.88E-01,1.03E+00,5.95E-06,1.63E-12,3.51E-05,
